Name,Position,Age,Height(m),Weight(kgs),Club
Bryan Chiang,Hooker,21,1.75,105,Manchester Met/Broughton Park RFC/Old Hararians
Simba Mandioma,Hooker,32,1.7,101,Old Hararians/Harare Province
Liam Larkan,Hooker,27,1.82,103,Pirates RFC- South Africa
Victor Mupunga,Prop,25,1.81,127,Union Sportive Bressane- France
Tyran Fagan,Prop,33,1.83,105,Bizkaia Gernika RT- Spain                        
Zvikomborero Chimoto,Prop,26,1.71,114,Old Hararians/Harare Province
Cleopas Kundiona,Prop,26,1.81,118,Northampton Saints- UK
Brian Makamure,Prop,34,1.72,106,Old Hararians
Bornwell Gwinji,Prop,27,1.77,118,Gernika Rugby Club- Spain
Kudakwashe Nyakufaringwa,2nd Row,31,2,127,Budowlan Lublin RFC-Poland
Simba Siraha,2nd Row,22,1.95,100,Budmex rugby Bialystok-Poland
Tadiwa Gwashu,2nd Row,23,1.9,106,Harare Sports Club
Brian Nyaude,2nd Row,30,1.96,92,Old Hararians
Jason Fraser,Back Row ,34,1.96,108,Nevers-France
Aiden Burnett,Back Row,27,1.89,114,Old Hararians/Harare Province
Dylan Utete,Back Row,25,1.87,111,Okman Rugby- South Korea
Godfrey Muzanargwo,Back Row,26,1.93,110,Valke -South Africa
Tinotenda Mavesere,Back Row,26,189,105,The Sharks- South Africa
Hilton Mudariki,Half Back,32,1.72,80,Old Hararians
Keegan Joubert,Half Back,24,1.74,85,Durbell Rugby Club/Western Province
Ian Prior,Fly Half,34,1.79,83,Associates Rugby Club-Australia
Lenience Tambwera,Fly Half,32,1.88,98,Harare Sports Club
Tyrone Gombe,Half Back,19,1.64,75,Western Province Academy
Brandon Mudzekenyedzi,Centre,28,1.84,104,Okman Rugby- South Korea
Dion Khumalo,Centre,22,1.73,92,Old Hararians
Kudzai Mashawi,Centre,31,1.78,109,Harare Sports Club
Trevor Gurwe,Outside Back,21,1.85,93,Old Georgians
Matthew McNab,Outside Back,27,1.88,95,Doncaster Knights-UK
Tapiwa Mafura,Outside Back,28,1.74,80,Lions-South Africa
Takudzwa Musingwini,Outside Back,22,1.78,89,Iowa Central Community College- USA
Edward Sigauke,Outside Back,21,169,85,Varsity College- South Africa