date,day,month,time,teamA,teamB,location,status
Week 1,17 May,May,14:00,ST JOHNS,PRINCE EDWARD,"St John's College, Harare",
Week 1,17 May,May,14:00,KYLE,ST GEORGES,"Kyle College, Masvingo",
Week 1,17 May,May,14:00,GATEWAY,HILLCREST,"Gateway High School, Harare",
Week 1,17 May,May,14:00,HELLENIC,WATERSHED,"Hellenic Academy, Harare",
Week 1,17 May,May,14:00,PETERHOUSE,CBC,"Peterhouse Boys, Marondera",
Week 1,17 May,May,14:00,ALLAN WILSON,MILTON,"Allan Wilson, Harare",
Week 1,17 May,May,14:00,MIDLANDS CC,HERITAGE,"MCC, Gweru",
Week 1,17 May,May,14:00,GOLDRIDGE,EAGLESVALE,"Goldridge, Kwekwe",
Week 1,17 May,May,14:30,WISE OWL,CHURCHILL,"Wise Owl, Marondera",
Week 1,17 May,May,15:15,LOMAGUNDI,FALCON,"Lomagundi College, Chinhoyi",
Week 1,17 May,May,TBA,NATTIE COLLEGE,RYDINGS,"Nattie College, Harare",
Week 2,24 May,May,11:30,GATEWAY,HERITAGE,,
Week 2,24 May,May,12:30,WATERSHED,HILLCREST,"Watershed College, Marondera",
Week 2,24 May,May,15:00,HELLENIC,EAGLESVALE,"Eaglesvale, Harare",
Week 2,24 May,May,15:30,PRINCE EDWARD,CHURCHILL,"Prince Edward, Harare",
Week 2,24 May,May,15:30,ST GEORGES,ST JOHNS,"St George's College, Harare",
Week 2,24 May,May,15:30,FALCON,CBC,,
Week 2,24 May,May,TBD,PETERHOUSE,LOMAGUNDI,,
Week 3,07 June,June,09:00,ST GEORGES 4TH,ALLAN WILSON 1ST,,
Week 3,07 June,June,10:30,PETRA,GATEWAY,,
Week 3,07 June,June,12:05,MIDLANDS CC,GOLDRIDGE,,
Week 3,07 June,June,12:30,HERITAGE,RYDINGS,,
Week 3,07 June,June,12:30,ELIS ROBINS,MUTARE,,
Week 3,07 June,June,12:50,PRINCE EDWARD,HILLCREST,,
Week 3,07 June,June,13:20,MILTON,CHURCHILL,,
Week 3,07 June,June,14:00,ST GEORGES,LOMAGUNDI,,
Week 3,07 June,June,14:45,HELLENIC,ST JOHNS,,
Week 3,07 June,June,15:00,WISE OWL,PLUMTREE,,
Week 3,07 June,June,15:30,KYLE,WATERSHED,,
Week 3,07 June,June,15:30,FALCON,PETERHOUSE,,
Week 3,07 June,June,15:30,CBC,EAGLESVALE,,
Week 4,14 June,June,11:30,MIDLANDS CC,GATEWAY,,
Week 4,14 June,June,12:00,BMC,ELLIS ROBINS,,
Week 4,14 June,June,12:00,MILTON,WISE OWL,,
Week 4,14 June,June,12:30,MUTARE,VICTORIA HIGH,,
Week 4,14 June,June,13:00,HILLCREST,WATERSHED,,
Week 4,14 June,June,13:30,HELLENIC,HERITAGE,,
Week 4,14 June,June,14:45,PETERHOUSE,ST JOHNS,,
Week 4,14 June,June,15:00,CHURCHILL,ALLAN WILSON,,
Week 4,14 June,June,15:00,EAGLESVALE,PETRA,,
Week 4,14 June,June,14:00,FALCON,ST GEORGE'S,,
Week 4,14 June,June,15:30,KYLE,LOMAGUNDI,,
Week 4,14 June,June,15:30,ST JOHNS,WISE OWL,"CBZ Sports Club, Harare",
Week 5,28 June,June,10:15,GATEWAY,ST JOHNS HIGH,,
Week 5,28 June,June,11:00,MILTON,GIFFORD,,
Week 5,28 June,June,12:00,PETRA,MIDLANDS CC,,
Week 5,28 June,June,12:30,HERITAGE,WATERSHED,,
Week 5,28 June,June,13:45,LOMAGUNDI,CHURCHILL,,
Week 5,28 June,June,13:45,HELLENIC,PETERHOUSE,,
Week 5,28 June,June,15:00,ST JOHNS,FALCON,,
Week 5,28 June,June,15:00,MUTARE,HILLCREST,,
Week 5,28 June,June,15:30,PRINCE EDWARD,EAGLESVALE,,
Week 5,28 June,June,15:30,ST GEORGES,CBC,,
Week 6,05 July,July,9:00,MIDLANDS CC,CBC,,
Week 6,05 July,July,10:00,BMC,TYNWALD,,
Week 6,05 July,July,11:00,HILLCREST,KYLE,,
Week 6,05 July,July,12:00,RYDINGS,MILTON,,
Week 6,05 July,July,13:00,MARIST,ST JOSEPH,,
Week 6,05 July,July,14:00,ST AUGUSTINES,MUTAMBARA,,
Week 6,05 July,July,15:00,MUTARE,ST JOSEPH,,
Week 6,05 July,July,9:30,ST AUGUSTINES,FIRST CLASS,,
Week 6,05 July,July,10:30,FIRST CLASS,MUTAMBARA,,
Week 6,05 July,July,11:30,MUTARE,FIRST CLASS,,
Week 6,05 July,July,12:30,MARIST,ST AUGUSTINES,,
Week 6,05 July,July,13:30,MUTARE,MARIST,"Manicaland U20 Nash Rugby Final",
Week 6,05 July,July,14:30,MUTARE,MARIST,,
Week 6,05 July,July,15:30,PLUMTREE,PETRA,,
Week 6,05 July,July,16:00,PETERHOUSE,WISE OWL,,
Week 6,05 July,July,TBD,ALLAN WILSON,CHURCHILL,,
Week 6,05 July,July,TBD,WATERSHED,EAGLESVALE,,
Week 6,05 July,July,TBD,HERITAGE,WISE OWL,,
Week 7,12 July,July,14:00,KYLE,CHURCHILL,,
Week 7,12 July,July,14:00,WISE OWL,PRINCE EDWARD,,
Week 7,12 July,July,14:00,HELLENIC,FALCON,,
Week 7,12 July,July,14:00,ST JOHNS,LOMAGUNDI,,
Week 7,12 July,July,14:00,GOROMONZI,SAMUEL CENTENARY,,
Week 7,12 July,July,14:00,TYNWALD,NATTIE COLLEGE,,
Week 8,19 July,July,14:00,MIDLANDS CC,NATTIE COLLEGE,,
Week 8,19 July,July,14:00,CHURCHILL,WISE OWL,,
Week 8,19 July,July,14:00,LORD BRIGHTON,ALLAN WILSON,,
Week 8,19 July,July,14:00,LOMAGUNDI,HELLENIC,,
Week 8,19 July,July,14:00,BMC,RYDINGS,,
Week 8,19 July,July,14:00,ST JOHNS,PH,,
Week 8,19 July,July,14:00,ST GEORGES,PRINCE EDWARD,,
Week 8,19 July,July,14:00,CBC,WATERSHED,,
Week 8,19 July,July,14:00,HILLCREST,HERITAGE,,
Week 8,19 July,July,14:00,GATEWAY,EAGLESVALE,,
Week 9,26 July,July,14:00,LOMAGUNDI,CBC,,
Week 9,26 July,July,14:00,HILLCREST,EAGLESVALE,,
Week 9,26 July,July,14:00,ST JOHNS,ST GEORGES,,
Week 9,26 July,July,14:00,PETERHOUSE,FALCON,,
Week 9,26 July,July,14:00,CHURCHILL,PRINCE EDWARD,,
Week 9,26 July,July,14:00,WATERSHED,MIDLANDS CC,,
Week 9,26 July,July,14:00,GOLDRIDGE,HERITAGE,,
Week 9,26 July,July,14:00,MILTON,PLUMTREE,,
Week 9,26 July,July,14:00,WISE OWL,KUTAMA,,
Week 9,26 July,July,14:00,BMC,LORD BRIGHTON,,
Week 10,02 Aug,August,14:00,LOMAGUNDI,PRINCE EDWARD,,
Week 10,02 Aug,August,14:00,MARONDERA,MUTARE,,
Week 10,02 Aug,August,14:00,WISE OWL,HILLCREST,,
Week 10,02 Aug,August,15:00,PETERHOUSE,ST GEORGES,,
Week 10,02 Aug,August,14:00,HERITAGE,KYLE,,
Week 10,02 Aug,August,14:00,ST IGNATIUS,TYNWALD,,
Week 10,02 Aug,August,14:00,WATERSHED,GATEWAY,,
Week 10,02 Aug,August,14:00,CBC,HELLENIC,,
Week 10,02 Aug,August,14:00,EAGLESVALE,MIDLANDS CC,,
Week 10,02 Aug,August,14:00,FALCON,ST JOHNS,,

